pair_id,band,initial_spin,initial_parity,branch,final_spin,final_band,egamma_keV,intensity,intensity_unc,multipolarity,delta_status,locator
b5_35,5,35/2,+,E2,31/2,5,968.6,6.9,0.5,E2,not_applicable,Table 4.7
b5_35,5,35/2,+,M1,33/2,5,431.3,6.0,0.5,M1/E2,unknown_assumed_zero,Table 4.7
b7_29,7,29/2,-,E2,25/2,7,950.3,24.3,1.4,E2,not_applicable,Table 4.3
b7_29,7,29/2,-,M1,27/2,1,834.2,25.4,1.4,M1/E2,unknown_assumed_zero,Table 4.3
b7_35,7,35/2,-,E2,31/2,7,709.1,16.3,0.9,E2,not_applicable,Table 4.3
b7_35,7,35/2,-,M1,33/2,7,363.4,26.4,1.1,M1/E2,unknown_assumed_zero,Table 4.3
b7_37,7,37/2,-,E2,33/2,7,749.2,6.0,0.5,E2,not_applicable,Table 4.3
b7_37,7,37/2,-,M1,35/2,7,346.0,23.0,1.2,M1/E2,unknown_assumed_zero,Table 4.3
b7_39,7,39/2,-,E2,35/2,7,850.8,4.0,0.2,E2,not_applicable,Table 4.3
b7_39,7,39/2,-,M1,37/2,7,403.2,12.0,0.6,M1/E2,unknown_assumed_zero,Table 4.3
b7_45,7,45/2,-,E2,41/2,7,1110.2,6.9,0.7,E2,not_applicable,Table 4.3
b7_45,7,45/2,-,M1,43/2,7,575.9,39.0,1.5,M1/E2,unknown_assumed_zero,Table 4.3
